@ NAME             %06s "SURVEY"
@ TYPE             %06s "SURVEY"
@ TITLE            %03s "TLe"
@ ORIGIN           %16s "5.03.04 Linux 64"
@ DATE             %08s "05/06/17"
@ TIME             %08s "10.49.27"
* NAME               KEYWORD                             S                  L              ANGLE                  X                  Y                  Z              THETA                PHI                PSI         GLOBALTILT    SLOT_ID ASSEMBLY_ID           MECH_SEP              V_POS 
$ %s                 %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le         %d         %d                %le                %le 
 "BPSTT003"          "MARKER"                       22.7134                  0                  0        -6.63272867       0.1408267935        10.54747723      -0.6369001753      0.05707880866      0.07598595238      0.07598595238          0          0                  0                  0
 "DHPTT001"          "SBEND"                        23.2699             0.5565       0.3967829609       -6.794310828        0.163591751        10.76590921      -0.6369001753      0.02332884267      0.09210258467      0.07598595238          0          0                  0                  0
 "DHPTT001YR"        "YROTATION"                    23.2699                  0                  0       -6.794310828        0.163591751        10.76590921      -0.6369001753       0.2411220983        1.322341707      0.09210258467          0          0                  0                  0
 "DHPTT001"          "SBEND"                        23.8264             0.5565       0.3967829609       -7.111396362       0.1662280561        11.19455569      -0.6369001753      -0.1440069295         1.32710139        1.322341707          0          0                  0                  0
 "D16A"              "DRIFT"                        28.0154              4.189                  0       -9.972546387       0.1072368442        15.06235084      -0.6369001753      -0.1440069295         1.32710139         1.32710139          0          0                  0                  0
 "CHVTT005"          "KICKER"                       28.0154                  0                  0       -9.972546387       0.1072368442        15.06235084      -0.6369001753      -0.1440069295         1.32710139         1.32710139          0          0                  0                  0
 "D16B"              "DRIFT"                        28.2959             0.2805                  0       -10.16413211       0.1032867285        15.32134261      -0.6369001753      -0.1440069295         1.32710139         1.32710139          0          0                  0                  0
 "BPSTT004"          "MARKER"                       28.2959                  0                  0       -10.16413211       0.1032867285        15.32134261      -0.6369001753      -0.1440069295         1.32710139         1.32710139          0          0                  0                  0
 "D16C"              "DRIFT"                        28.5764             0.2805                  0       -10.35571783       0.0993366127        15.58033438      -0.6369001753      -0.1440069295         1.32710139         1.32710139          0          0                  0                  0
 "QUATT006"          "QUADRUPOLE"                   28.6764                0.1                  0       -10.42401933      0.09792837178        15.67266656      -0.6369001753      -0.1440069295         1.32710139         1.32710139          0          0                  0                  0
 "QUATT006"          "QUADRUPOLE"                   28.7764                0.1                  0       -10.49232084      0.09652013087        15.76499875      -0.6369001753      -0.1440069295         1.32710139         1.32710139          0          0                  0                  0
 "FL2TT002"          "MARKER"                       28.7764                  0                  0       -10.49232084      0.09652013087        15.76499875      -0.6369001753      -0.1440069295         1.32710139         1.32710139          0          0                  0                  0
 "D17"               "DRIFT"                        33.1254              4.349                  0       -13.46275327      0.03527573357        19.78052538      -0.6369001753      -0.1440069295         1.32710139         1.32710139          0          0                  0                  0
 "DHPTT002"          "SBEND"                        33.6819             0.5565      -0.3899616847       -13.78106329      0.03773312168        20.21082716      -0.6369001753       0.2345099366        1.322747989         1.32710139          0          0                  0                  0
 "DHPTT002YR"        "YROTATION"                    33.6819                  0                  0       -13.78106329      0.03773312168        20.21082716      -0.6369001753       0.2348724417        1.329162983        1.322747989          0          0                  0                  0
 "DHPTT002"          "SBEND"                        34.2384             0.5565      -0.3899616847       -13.94712369      0.06001578261        20.43531298      -0.6369001753       0.6116534595         1.28256774        1.329162983          0          0                  0                  0
 "D18A"              "DRIFT"                        34.4854              0.247                  0       -13.98239485      0.07391255515        20.48299368      -0.6369001753       0.6116534595         1.28256774         1.28256774          0          0                  0                  0
 "CHVTT006"          "KICKER"                       34.4854                  0                  0       -13.98239485      0.07391255515        20.48299368      -0.6369001753       0.6116534595         1.28256774         1.28256774          0          0                  0                  0
 "BPSTT005"          "MARKER"                       34.4854                  0                  0       -13.98239485      0.07391255515        20.48299368      -0.6369001753       0.6116534595         1.28256774         1.28256774          0          0                  0                  0
 "D18B"              "DRIFT"                        35.3194              0.834                  0       -14.10148857       0.1208352608        20.64398842      -0.6369001753       0.6116534595         1.28256774         1.28256774          0          0                  0                  0
 "FL1TT001"          "MARKER"                       35.3194                  0                  0       -14.10148857       0.1208352608        20.64398842      -0.6369001753       0.6116534595         1.28256774         1.28256774          0          0                  0                  0
 "DHRTT001A"         "SBEND"                        35.6979             0.3785                  0        -14.1555377       0.1421305175        20.71705378      -0.6369001753       0.6116534595         1.28256774         1.28256774          0          0                  0                  0
 "DHRTT001B"         "SBEND"                        36.0764             0.3785                  0       -14.20958683       0.1634257742        20.79011914      -0.6369001753       0.6116534595         1.28256774         1.28256774          0          0                  0                  0
 "D19"               "DRIFT"                        36.5004              0.424                  0       -14.27013328       0.1872809627        20.87196779      -0.6369001753       0.6116534595         1.28256774         1.28256774          0          0                  0                  0
 "QUATT007"          "QUADRUPOLE"                   36.6004                0.1                  0        -14.2844131       0.1929071864        20.89127172      -0.6369001753       0.6116534595         1.28256774         1.28256774          0          0                  0                  0
 "QUATT007"          "QUADRUPOLE"                   36.7004                0.1                  0       -14.29869292       0.1985334101        20.91057564      -0.6369001753       0.6116534595         1.28256774         1.28256774          0          0                  0                  0
 "D20"               "DRIFT"                        37.1574              0.457                  0       -14.36395171       0.2242452524        20.99879459      -0.6369001753       0.6116534595         1.28256774         1.28256774          0          0                  0                  0
 "DHSTT001"          "SBEND"                        38.2704              1.113      -0.7941605136       -14.16006171       0.3127271941        20.72316949        2.504692478        1.295454553       0.5433626174         1.28256774          0          0                  0                  0
 "DHSTT001K"         "KICKER"                       38.2704                  0                  0       -14.16006171       0.3127271941        20.72316949        2.504692478        1.295454553       0.5433626174       0.5433626174          0          0                  0                  0
 "KER5"              "KICKER"                       38.2704                  0                  0       -14.16006171       0.3127271941        20.72316949        2.504692478        1.295454553       0.5433626174       0.5433626174          0          0                  0                  0
 "FL1TT002"          "MARKER"                       38.2704                  0                  0       -14.16006171       0.3127271941        20.72316949        2.504692478        1.295454553       0.5433626174       0.5433626174          0          0                  0                  0
 "D21A"              "DRIFT"                        40.5144              2.244                  0       -13.06113927       0.5243123282        19.23761058        2.504692478        1.295454553       0.5433626174       0.5433626174          0          0                  0                  0
 "CHVTT007"          "KICKER"                       40.5144                  0                  0       -13.06113927       0.5243123282        19.23761058        2.504692478        1.295454553       0.5433626174       0.5433626174          0          0                  0                  0
 "D21B"              "DRIFT"                        40.7704              0.256                  0         -12.935772       0.5484503827        19.06813506        2.504692478        1.295454553       0.5433626174       0.5433626174          0          0                  0                  0
 "QUATT008"          "QUADRUPOLE"                   40.8704                0.1                  0       -12.88680041       0.5578793102        19.00193368        2.504692478        1.295454553       0.5433626174       0.5433626174          0          0                  0                  0
 "QUATT008"          "QUADRUPOLE"                   40.9704                0.1                  0       -12.83782882       0.5673082378         18.9357323        2.504692478        1.295454553       0.5433626174       0.5433626174          0          0                  0                  0
 "BPSTT006"          "MARKER"                       40.9704                  0                  0       -12.83782882       0.5673082378         18.9357323        2.504692478        1.295454553       0.5433626174       0.5433626174          0          0                  0                  0
 "D22"               "DRIFT"                        43.3574              2.387                  0         -11.668877       0.7923767382        17.35550543        2.504692478        1.295454553       0.5433626174       0.5433626174          0          0                  0                  0
 "DVRTT001A"         "SBEND"                        43.5324              0.175      0.09571987575       -11.57957138       0.8086613454         17.2347792        2.504692478        1.210196314       0.4097555391        2.114158944          0          0                  0                  0
 "ROLL1"             "SROTATION"                    43.5324                  0                  0       -11.57957138       0.8086613454         17.2347792        2.504692478        1.210196314        1.980551866        1.980551866          0          0                  0                  0
 "DVRTT001YR"        "YROTATION"                    43.5324                  0                  0       -11.57957138       0.8086613454         17.2347792        2.504692478       0.7571641804        0.332992607        1.980551866          0          0                  0                  0
 "ROLL2"             "SROTATION"                    43.5324                  0                  0       -11.57957138       0.8086613454         17.2347792        2.504692478       0.7571641804        -1.23780372        -1.23780372          0          0                  0                  0
